,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
105,Josh Dasilva\60344e4f,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-151,1998,1.5,0,1,0,2,4,0,2,2,1,0,0,0,19,0,1,0,Matches
106,Ben Davies\44781702,Ben Davies\44781702,wls WAL,DF,Tottenham,28-333,1993,19.3,3,0,0,21,14,4,6,29,15,0,1,0,138,49,32,60.5,Matches
107,Tom Davies\9228b07c,Tom Davies\9228b07c,eng ENG,MF,Everton,23-266,1998,1.8,0,0,0,2,3,0,0,4,2,0,0,0,11,4,2,66.7,Matches
108,Keinan Davis\9deaf2c8,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,Matches
109,Craig Dawson\3e9e06cb,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-321,1990,23.9,5,0,0,30,11,1,1,24,13,0,1,0,215,89,45,66.4,Matches
110,Kevin De Bruyne\e46012d4,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-268,1991,17.1,0,0,0,16,26,4,73,9,10,0,0,0,127,8,17,32,Matches
111,Troy Deeney\82e34b69,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-267,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,57.1,Matches
112,Liam Delap\dd897ee7,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,19-043,2003,0.1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,Matches
113,Fabian Delph\111c3236,Fabian Delph\111c3236,eng ENG,MF,Everton,32-122,1989,2.8,1,0,0,5,2,0,1,13,6,0,0,0,31,0,1,0,Matches
114,Leander Dendoncker\5a7301ae,Leander Dendoncker\5a7301ae,be BEL,MFFW,Wolves,26-342,1995,15.7,4,0,0,17,5,0,7,21,17,0,0,0,139,35,33,51.5,Matches
