,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,30,25,11,16,3,7,16,43.8,9,139,63,45.3,52,70,17,25,12,0,13,32,62,70,1,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,8,6,2,3,3,1,5,20,4,91,32,35.2,15,35,41,7,1,0,6,3,11,0,0,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,18,9,8,8,2,2,9,22.2,7,133,48,36.1,70,57,6,44,28,1,16,35,53,117,0,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,9,4,3,3,3,3,6,50,3,74,15,20.3,36,22,16,11,4,0,7,12,21,21,0,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,35,17,26,5,4,22,30,73.3,8,161,43,26.7,80,50,31,28,5,0,23,31,66,30,0,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,16,9,9,6,1,8,9,88.9,1,90,27,30,51,33,6,25,15,0,10,39,55,119,1,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,9,3,4,5,0,2,9,22.2,7,56,22,39.3,35,20,1,15,10,0,5,12,21,37,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,13,8,6,6,1,5,11,45.5,6,100,25,25,46,36,18,9,1,0,8,9,22,3,0,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,2,2,0,1,1,0,2,0,2,19,5,26.3,4,7,8,0,0,0,0,1,3,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,17,11,9,7,1,7,12,58.3,5,112,38,33.9,47,50,15,23,2,0,21,17,34,13,0,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,40,26,27,10,3,16,24,66.7,8,154,57,37,93,54,7,33,21,0,12,32,72,90,3,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,52,29,24,26,2,21,50,42,29,461,126,27.3,173,209,79,24,4,0,20,31,83,23,0,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,10,4,4,4,2,5,14,35.7,9,120,24,20,31,52,37,5,1,0,4,1,11,2,0,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,6,3,4,2,0,2,4,50,2,29,8,27.6,16,10,3,2,0,0,2,3,9,2,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,0,0,0,0,0,0,0,,0,4,1,25,4,0,0,0,0,0,0,0,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,16,9,12,1,3,5,13,38.5,8,86,20,23.3,50,31,5,35,19,1,16,18,34,91,1,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,9,4,6,2,1,5,8,62.5,3,31,12,38.7,15,13,3,3,0,0,3,4,13,9,1,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,20,11,9,10,1,6,11,54.5,5,108,45,41.7,60,38,10,32,20,0,12,35,55,79,1,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,0,0,0,0,0,0,0,,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,15,11,1,6,8,2,18,11.1,16,274,83,30.3,39,116,119,19,3,0,16,8,23,13,0,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,13,8,5,6,2,4,15,26.7,11,131,42,32.1,39,60,32,10,1,0,9,10,23,2,0,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,1,1,1,0,0,0,6,0,6,77,16,20.8,17,42,18,8,0,0,8,3,4,4,0,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,3,2,2,1,0,1,2,50,1,23,7,30.4,12,9,2,2,0,0,2,5,8,2,0,Matches
