,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,3,24,6,25,0.84,0.21,0.13,0.5,18.5,0,0,0,1.7,1.7,0.07,1.3,1.3,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,1,2,1,50,0.13,0.07,0.5,1,19.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,1,4,2,50,1.01,0.51,0.25,0.5,18.3,0,0,0,0.5,0.5,0.11,0.5,0.5,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,0,2,0,0,0.08,0,0,,9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,2,16,4,25,2.34,0.59,0.13,0.5,11.6,0,0,0,3.1,3.1,0.19,-1.1,-1.1,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,3,5,4,80,0.38,0.31,0.6,0.75,14.5,0,0,0,0.8,0.8,0.17,2.2,2.2,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,0,2,0,0,1.06,0,0,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,1,2,1,50,0.4,0.2,0.5,1,15.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,3,13,6,46.2,2.17,1,0.23,0.5,17.9,0,0,0,1.2,1.2,0.09,1.8,1.8,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,0,2,1,50,3.53,1.76,0,0,6.5,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,0,1,0,0,0.32,0,0,,12.8,0,0,0,0,0,0.02,0,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,0,5,0,0,0.35,0,0,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,0,3,1,33.3,1.39,0.46,0,0,16.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,0,7,1,14.3,0.62,0.09,0,0,7,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,0,12,7,58.3,0.79,0.46,0,0,23.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,0,1,1,100,0.17,0.17,0,0,28.6,0,0,0,0,0,0.02,0,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,3,11,3,27.3,0.37,0.1,0.27,1,12,0,0,0,1.8,1.8,0.16,1.2,1.2,Matches
