,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,0.44,0.44,0.35,0,0,0.09,0,0,0,0,0,0,0,0,0,0,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,1.75,1.74,1.5,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,2.47,2.47,1.61,0.11,0.11,0.11,0.43,0.11,0.32,0.32,0.22,0,0,0,0.11,0,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,2.9,2.91,2.22,0,0.25,0.36,0.04,0.04,0.36,0.36,0.22,0,0.04,0.07,0,0.04,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,1.54,1.53,1.23,0.09,0.09,0.09,0.04,0,0.22,0.22,0.18,0,0,0.04,0,0,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,1.02,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,1.59,1.59,1.08,0.14,0.1,0.07,0.17,0.03,0.24,0.24,0.14,0.07,0.03,0,0,0,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,0.95,0.95,0.76,0.13,0,0,0.06,0,0.06,0.06,0,0,0,0,0.06,0,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,1.8,1.82,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,0.21,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,0.88,0.88,0.59,0,0,0.29,0,0,0.29,0.29,0.15,0,0,0.15,0,0,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
