Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
514,Joe Willock,,eng ENG,MF,Newcastle Utd,22-215,1999,19.5,377,471,80,6266,1587,195,235,83,134,156,85.9,34,54,63,0,1,-1,15,30,8,3,34,Matches
515,Callum Wilson,,eng ENG,FW,Newcastle Utd,30-024,1992,13.2,105,154,68.2,1552,289,51,73,69.9,37,50,74,6,11,54.5,0,0.4,-0.4,8,7,3,1,6,Matches
516,Harry Winks,,eng ENG,MF,Tottenham,26-049,1996,9.4,522,608,85.9,10244,3061,200,216,92.6,230,259,88.8,78,111,70.3,1,1.5,-0.5,11,58,14,0,66,Matches
517,Yoane Wissa,,cd COD,FWMF,Brentford,25-201,1996,9.6,126,184,68.5,1961,447,70,90,77.8,40,60,66.7,13,18,72.2,0,0.4,-0.4,5,8,6,1,16,Matches
518,Chris Wood,,nz NZL,FW,Newcastle Utd,30-106,1991,10,128,240,53.3,1581,378,85,149,57,29,58,50,5,9,55.6,0,0.8,-0.8,9,14,1,0,8,Matches
519,Chris Wood,,nz NZL,FW,Burnley,30-106,1991,15.2,182,308,59.1,2670,566,120,188,63.8,47,81,58,12,16,75,0,0.2,-0.2,7,17,5,0,19,Matches
520,Freddie Woodman,,eng ENG,GK,Newcastle Utd,25-019,1997,4,74,123,60.2,2481,1475,8,8,100,34,34,100,31,80,38.8,0,0,0,0,6,0,0,0,Matches
521,Granit Xhaka,,ch SUI,MF,Arsenal,29-177,1992,16.2,748,869,86.1,13774,3808,310,347,89.3,327,363,90.1,92,120,76.7,1,1.6,-0.6,22,101,18,1,90,Matches
522,Andriy Yarmolenko,,ua UKR,FWMF,West Ham,32-151,1989,1.9,50,69,72.5,904,211,25,35,71.4,17,22,77.3,7,9,77.8,0,0,0,2,0,4,1,6,Matches
523,Ashley Young,,eng ENG,DFFW,Aston Villa,36-257,1985,11.7,383,499,76.8,6824,2348,191,223,85.7,143,180,79.4,46,81,56.8,2,0.3,1.7,9,26,9,3,27,Matches
524,Wilfried Zaha,,ci CIV,FW,Crystal Palace,29-133,1992,22.5,552,720,76.7,8838,2509,290,352,82.4,201,249,80.7,46,72,63.9,1,4,-3,32,24,50,10,87,Matches
525,Christoph Zimmermann,,de GER,DF,Norwich City,29-070,1993,0.5,7,11,63.6,122,87,2,4,50,5,6,83.3,0,1,0,0,0,0,0,0,0,0,1,Matches
526,Oleksandr Zinchenko,,ua UKR,DF,Manchester City,25-098,1996,6.6,533,596,89.4,9446,2478,258,275,93.8,212,228,93,60,77,77.9,1,0.9,0.1,7,55,14,3,46,Matches
527,Hakim Ziyech,,ma MAR,FWMF,Chelsea,29-004,1993,10.7,354,490,72.2,5956,1972,188,213,88.3,121,160,75.6,33,87,37.9,2,2.3,-0.3,20,33,18,6,52,Matches
528,Kurt Zouma,,fr FRA,DF,West Ham,27-147,1994,17.8,614,698,88,13069,3608,170,182,93.4,346,374,92.5,96,139,69.1,0,0,0,0,21,1,0,26,Matches
529,Martin Odegaard,,no NOR,MF,Arsenal,23-096,1998,21,929,1105,84.1,16231,3683,453,507,89.3,334,378,88.4,112,163,68.7,3,4.8,-1.8,52,67,46,2,114,Matches
