,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
10,Allan,,br BRA,MF,Everton,31-086,1991,21.5,51.9,2.93,13.7,32.4,8.84,0.47,49.3,0.74,1.02,72.7,0.74,0.14,32.7,165.1,86.6,4.51,1.21,0.09,0.79,1.21,30.4,28.2,92.8,0.79,Matches
11,Dele Alli,,eng ENG,MF,Everton,25-358,1996,1.9,69.5,4.21,11.6,38.4,23.2,5.26,66.3,1.58,2.11,75,1.58,0.53,43.7,201.1,98.4,5.79,2.11,0.53,3.16,4.21,55.3,43.7,79,6.84,Matches
12,Dele Alli,,eng ENG,MFFW,Tottenham,25-358,1996,7.3,45.3,3.15,11.9,23.6,13.3,2.74,44,0.68,2.47,27.8,0.96,0.27,29.2,124.4,61.1,2.33,0.82,0,1.64,2.47,35.9,27.3,76,4.25,Matches
13,Miguel Almiron,,py PAR,MFFW,Newcastle Utd,28-053,1994,12.6,39.2,0.95,8.1,16.3,17.6,2.78,38.8,0.87,1.98,44,1.27,0.08,27.3,173.6,82.2,4.05,0.95,0.4,1.35,2.06,33.4,23.7,70.8,3.02,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-097,1990,16.7,72.3,3.89,20.5,25.4,29.2,2.69,59.9,0.66,1.62,40.7,0.72,0.06,40.2,189.4,106.9,5.33,1.14,0.48,1.26,1.26,46.9,40.8,86.9,3.71,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-208,1998,4.5,63.8,3.56,18,37.3,12.4,0.89,63.3,1.11,1.33,83.3,1.11,0.22,41.1,168.7,89.6,4.44,1.78,0.22,1.11,0.89,42,39.1,93.1,1.56,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-104,1994,17,66.6,12.1,38.4,29.7,1.65,0.24,65.5,0.24,0.35,66.7,0.24,0,45.1,180.4,99.4,1.82,0.41,0,0.24,0.12,48.1,47,97.8,0,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-308,1996,23.4,76.4,16.2,47.1,31.4,2.26,0.81,73.8,0.17,0.26,66.7,0.17,0,47.7,271,128.7,2.01,0.21,0.09,0.04,0.21,54.8,54.2,98.9,0.09,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,32-007,1990,28.6,37,0.63,2.24,14.9,22.2,5.38,35.8,1.36,2.8,48.8,1.47,0.14,27.2,134.5,77.7,4.16,1.19,1.01,4.09,2.76,52.2,28.3,54.2,8.29,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-257,2001,0.3,40,0,3.33,6.67,30,10,40,3.33,6.67,50,3.33,0,23.3,50,0,0,0,0,0,3.33,30,20,66.7,6.67,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-036,1993,1,42,40,42,0,0,0,25,0,0,,0,0,17,48,12,0,0,0,0,0,20,20,100,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-053,1997,13.5,31,0.44,2.74,12.3,18.5,5.19,29,1.04,2.15,48.3,1.11,0.07,21.9,127.9,70.7,4.3,1.26,1.19,1.93,1.7,41,21.9,53.2,7.04,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,30-005,1992,11,58.3,1.55,8,27.8,27.9,3.64,56.6,1.73,3.64,47.5,1.91,0,44.3,292,152.4,7.27,2.82,0.91,1.18,1.36,47.1,41.2,87.5,4.55,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-183,1994,4,37.3,32.5,37.3,0,0,0,30,0,0,,0,0,21.3,63.3,29.3,0,0,0,0,0,20.3,20.3,100,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-141,2001,0.1,90,10,30,10,50,0,80,0,0,,0,0,40,210,50,10,0,0,0,0,80,60,75,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,28,0.43,2.96,12.3,14.5,4.78,27.2,0.17,0.52,33.3,0.26,0,14.7,89,52.2,2.52,0.96,0.78,1.74,0.43,38.5,19.6,50.8,4.87,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,52.2,0.58,7.05,28.4,22.1,3.58,51.8,1.85,3.58,51.6,1.91,0.29,40.6,249.6,144,6.88,2.25,1.16,3.06,3.53,49.5,38.1,76.9,4.57,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,73.5,9.45,38.1,30.4,10.7,1.5,67.6,1.05,1.73,60.5,1.14,0.18,45.1,273.5,164,4.41,1.23,0.14,0.91,0.59,48.5,46.2,95.1,1.36,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,84.4,5.56,26.3,38.4,23.1,2.6,76.4,0.59,0.83,71.4,0.59,0,50.9,205.3,115.5,6.09,1.6,0.36,0.53,0.3,61.6,57.9,93.9,2.84,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,32.9,28.1,32.7,0.18,0,0,22.6,0.09,0.09,100,0.09,0,14.8,81,51.5,0,0,0,0,0,12.3,12.2,99.3,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,44.6,0.88,5.44,15.1,27.5,3.97,41.6,1.91,3.09,61.9,2.06,0.15,33.5,194.9,100.7,6.91,1.03,1.03,3.38,3.97,41.5,30.9,74.5,7.06,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,47.1,10.8,30.4,17.1,1.25,0,45.4,0,0.83,0,0,0,25.8,130.4,59.2,2.08,0,0,0.42,1.25,22.5,22.1,98.1,0,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,28.8,1.25,3.75,12.5,15,7.5,28.8,0,2.5,0,0,0,20,62.5,20,1.25,0,1.25,5,2.5,42.5,21.3,50,8.75,Matches
