,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,51.5,2.84,14.7,26.2,13.1,0.8,43.4,0.34,0.8,42.9,0.34,0.11,27.7,116.6,61.1,3.07,1.25,0.34,0.45,0.45,29.2,27.4,93.8,1.02,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,58.9,6.99,31.3,28.1,3.53,0.76,57.7,0.45,0.59,76.5,0.48,0,37.6,202.2,116.6,3.67,0.9,0.03,0.31,0.31,39.8,38.9,97.8,0.24,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,34.7,1.36,4.36,16.5,16,5.14,33.4,1.64,3,54.5,1.73,0.14,21.9,118.3,65.6,3.41,1.05,1.14,3.55,1.82,45.4,24.3,53.5,6.86,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,35,30,35,0,0,0,27.5,0,0,,0,0,12.5,70,27.5,0,0,0,0,0,10,10,100,0,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,53,1.57,10.9,26.5,18.8,2.93,51.5,0.89,1.36,65.4,0.94,0.05,35.3,193,93.5,4.76,1.57,0.31,1.05,1.15,44.2,35.6,80.5,6.18,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,46.4,5.63,20.3,22.9,5,0.8,45.9,0.18,0.18,100,0.18,0,23.7,91.1,44.7,1.07,0.45,0.09,0.27,0.36,27.8,25.9,93.2,0.36,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,27,8,19,8,0,0,25,0,0,,0,0,10,30,15,0,0,0,0,0,8,7,87.5,0,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,71.3,8.38,33.5,39.9,1.25,0.5,70.4,0.25,0.25,100,0.25,0,46.6,218.4,127.8,3.13,0,0,0.25,0.25,48.3,47.1,97.7,0.25,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,42.9,7.57,25,17.4,2.74,1.39,41.6,0.22,0.26,83.3,0.22,0,25.4,114.9,62.1,1.04,0.3,0,0.39,0.22,28,26.5,94.4,0.3,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,48,4.11,17.1,27.4,5.51,0.38,47.2,0.59,0.92,64.7,0.65,0,26.8,109.5,46.5,1.14,0.32,0,1.19,0.81,25.1,23.2,92.7,0.32,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,78.1,1.52,15,49,21.2,1.03,76.9,1.93,2.34,82.4,2,0,60.1,326.3,165.9,7.66,3.59,0.34,0.76,1.66,63.4,60.8,95.8,1.59,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,49.7,4.96,22.6,18.9,10.6,0.61,41.5,0.26,0.35,75,0.26,0,23.8,127.7,75.5,3.13,1.22,0.09,0.26,0.09,25.2,23.1,91.7,0.26,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,2,0,0,2,0,0,2,0,0,,0,0,1,4,0,0,0,0,0,0,0,0,,0,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,39.8,34,39.3,0.61,0.04,0,28.2,0,0,,0,0,16.5,74.6,42.5,0,0,0,0,0,17.4,17.3,99.5,0,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,47.4,3.92,14.6,24.6,10.6,1.24,46.1,0.81,1.56,51.7,0.91,0.32,23.1,108.4,60.3,2.9,0.91,0.22,1.13,1.4,28.3,23.3,82.2,0.86,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,49.5,0.24,6.67,21.9,23.8,5.6,48.1,2.14,3.93,54.5,2.26,0.36,38.7,199,112.4,8.1,1.43,1.67,2.02,2.26,46.3,35.8,77.4,7.38,Matches
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,34.6,0.24,3.88,15.9,17,5.65,33.9,1,1.65,60.7,1,0.06,22,85.1,46.6,2.47,0.76,0.41,2.24,1.35,40.1,25.8,64.4,6.29,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,64.7,2.5,16.4,36.2,16,2.14,64.2,1.01,1.55,65.4,1.07,0,46.3,184.7,81.1,3.63,1.01,0.24,1.25,1.13,50,46,92,3.75,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,61.5,2.11,12.8,23.2,30.9,2.7,57.3,1.71,3.68,46.4,1.78,0,45.3,266.6,167.8,9.61,2.04,1.12,1.84,1.38,52.4,42.2,80.5,4.47,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,68.8,1.36,12.9,38.8,21.2,2.45,65.2,1.02,1.5,68.2,1.02,0.07,49.2,231.8,106.8,5.85,2.04,0.48,1.02,1.09,55.2,49,88.7,3.2,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,98.5,7.88,36.4,65.1,5.85,1.62,96.8,0.12,0.21,60,0.12,0,73.7,462.9,316.3,11.4,1.83,0.04,0.04,0.12,82.4,81.1,98.4,0.25,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,39.6,10.4,26,11.9,2.98,2.15,39.2,0.05,0.05,100,0.05,0,16.6,71,27.7,0.42,0,0,0.21,0.21,20.9,19.9,95,0.21,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,49.8,3.14,15.3,24.8,11.9,1.35,48.9,0.49,1.03,47.4,0.65,0.05,31.1,139.4,59.7,2,0.54,0.27,0.54,0.38,36.1,31.8,88.2,1.95,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,30.4,1.4,5.04,13.1,14,2.09,30,0.78,2.02,38.5,1.01,0.08,19.7,97.4,50.5,2.87,0.93,0.85,1.16,1.01,26,18.4,70.5,2.71,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,31.3,26.3,31.3,0,0,0,20.5,0,0,,0,0,14,72.5,28,0,0,0,0,0,11.8,11.8,100,0,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,47.6,3.45,19.7,17.6,11.4,0.34,39.7,0,0.69,0,0,0,25.5,109.7,33.8,1.38,0,0.34,0.34,2.76,25.2,22.1,87.7,0.69,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,59.9,9.89,35.4,26.5,2.31,0.38,58.7,0,0.05,0,0,0,34.9,237.1,121.2,2.64,0.66,0,0.11,0.16,38.2,37.9,99,0.05,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,48.3,0.43,4.78,17.8,26.5,3.91,47.4,0.43,2.17,20,1.3,0,32.2,164.3,102.6,3.91,0.87,0.43,2.17,1.74,54.3,36.1,66.4,6.09,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,60.3,3.45,17.2,28.3,20,2.07,51.9,1.34,2.41,55.4,1.59,0.04,35.5,239.4,132.1,5.3,2.16,0.56,1.29,1.16,35.5,31.6,89.1,2.24,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,65.3,10.2,39,29.6,2.2,0.5,63.8,0.4,0.5,80,0.4,0.05,40.3,303.6,196.7,2.6,0.3,0,0.25,0.5,41.8,40.6,97.2,0.1,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,27.3,25.1,27.3,0.07,0,0,18.8,0,0,,0,0,10.4,47,23.4,0,0,0,0,0,9.63,9.57,99.3,0,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,75.4,0.38,9.62,38.1,32.7,3.85,70.8,2.31,3.08,75,3.08,0,54.6,290,148.5,7.69,2.31,0.38,3.08,3.85,66.5,55.8,83.8,8.85,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,20,0,0,10,10,6.67,20,3.33,3.33,100,3.33,0,16.7,33.3,13.3,0,0,0,0,3.33,50,13.3,26.7,0,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,73.8,1.44,13.4,45.8,20.5,2.27,73.4,2.89,4.23,68.3,2.99,0.31,56,294.4,180.2,8.35,3.09,0.41,1.44,2.68,59.4,54.6,92,3.2,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,28,11,22,6,1,1,28,0,0,,0,0,9,62,40,0,0,0,0,0,11,11,100,0,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,45.6,0.63,3.75,14.4,30,3.13,45.6,1.25,2.5,50,1.25,0,25,80.6,19.4,0.63,0,0,3.13,5,60,35,58.3,6.25,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,49.1,3.11,14.1,28,10,0.82,47.2,0.25,0.41,60,0.25,0,29.8,139.5,49.6,1.23,0.49,0,0.57,1.48,31,27.8,89.7,1.15,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,48.3,0.55,6.61,23,22,5.67,47.5,2.68,4.17,64.2,2.76,0.39,39.7,182.2,105.7,6.54,1.73,1.18,2.2,3.39,45,33.6,74.8,7.24,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,33,27,32.5,0.5,0,0,25,0,0,,0,0,21,107,70,0,0,0,0,0,18,17.5,97.2,0,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,55.7,3.36,15.8,33.5,9.92,0.5,50.8,0.92,1.68,55,0.92,0,29.3,173.4,86.9,2.35,0.67,0.17,0.84,0.59,30.3,28.2,92.8,1.01,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,54.5,4.7,16.8,25.2,14.9,0.42,44.5,0.42,0.77,53.8,0.48,0,24.2,106.1,62.3,2.8,1.01,0.06,0.48,0.42,26.8,24.3,90.7,0.77,Matches
292,Douglas Luiz,,br BRA,MF,Aston Villa,23-330,1998,23.1,56.5,2.73,15,32.2,12,0.17,50.9,0.52,1.17,44.4,0.56,0.09,33.9,169.4,76.5,2.81,0.69,0,1.04,0.74,36.5,33.5,91.7,0.91,Matches
293,Romelu Lukaku,,be BEL,FW,Chelsea,28-326,1993,13.8,27.3,1.3,2.1,13,13.9,5.51,25.9,0.8,1.45,55,0.94,0,16.4,74.2,46.4,2.46,0.72,1.3,2.17,1.74,44.3,20.1,45.3,8.19,Matches
294,Lyanco,,br BRA,DF,Southampton,25-062,1997,6.1,50.5,8.85,26.9,24.1,2.79,0.82,49.2,0.49,0.66,75,0.49,0,26.6,136.2,53.3,1.64,0.49,0.16,0.33,0.49,24.6,23.9,97.3,0.33,Matches
295,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-101,1998,15.9,64.4,1.95,11.2,30.1,26.2,2.2,60.3,0.75,1.89,40,0.94,0.13,40.3,178.9,91.1,4.65,1.32,0.06,0.94,1.38,45.5,40.7,89.5,3.46,Matches
296,James Maddison,,eng ENG,MFFW,Leicester City,25-132,1996,20.1,48.6,0.95,7.06,25.4,19,2.99,43.1,1.29,2.14,60.5,1.34,0.05,34,172.8,90.1,4.58,1.14,0.4,1.34,1.09,42.7,34.1,79.8,5.42,Matches
297,Harry Maguire,,eng ENG,DF,Manchester Utd,29-030,1993,23.7,63.9,9.37,32.1,32.7,3.33,1.31,62.3,0.13,0.21,60,0.13,0,38.3,261.8,137.7,3.97,0.76,0,0.17,0.17,42.6,41.6,97.6,0.17,Matches
298,Riyad Mahrez,,dz ALG,FW,Manchester City,31-042,1991,13.5,67.3,0.96,4.44,20.2,46.8,7.7,61.3,1.48,2.52,58.8,1.48,0,52.2,277,146.9,8.89,1.56,2.15,1.7,2,59.8,52.1,87.1,8.44,Matches
299,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-218,1997,3,57,3,15.7,29.7,13.7,0.33,55.3,0.67,2.33,28.6,0.67,0,33.7,140.7,72,3.33,0.33,0,1,1.67,38.7,36,93.1,1,Matches
300,Sadio Mane,,sn SEN,FW,Liverpool,29-359,1992,25,49.2,0.56,3.64,21.1,28.3,8.36,48.8,1.64,2.8,58.6,1.76,0.32,38.1,216,113.2,6.6,1.8,1.92,3.52,2.32,59.6,39,65.5,11.2,Matches
301,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-334,1994,14,39.4,4.36,15.9,15.5,9.79,0.79,32.5,0.57,0.86,66.7,0.57,0,18.5,82,36.9,1.36,0.57,0.07,0.64,0.5,19.1,16,83.6,1.29,Matches
302,Fernando Marcal,,br BRA,DF,Wolves,33-044,1989,15.2,66.8,4.61,22.4,27.6,21.2,1.45,58.2,0.59,1.18,50,0.66,0.2,37,171.6,104.9,5.99,1.91,0.13,0.79,0.72,41.6,37.8,90.8,2.96,Matches
303,Solly March,,eng ENG,DFFW,Brighton,27-258,1994,14.7,53.9,2.52,8.84,18.6,29.7,4.15,48.8,1.29,2.24,57.6,1.29,0.07,36.8,229.9,131.9,6.87,1.22,1.09,1.22,1.56,44.3,34.4,77.6,4.69,Matches
304,Pablo Mari,,es ESP,DF,Arsenal,28-216,1993,2,57,7.5,27.5,30.5,3.5,1.5,56.5,0.5,0.5,100,0.5,0,29.5,176.5,95,2,0.5,0,0,0,33,32.5,98.5,1,Matches
305,Anthony Martial,,fr FRA,FW,Manchester Utd,26-120,1995,2.4,45.8,0.42,3.75,16.7,27.5,7.92,45.4,2.08,2.92,71.4,2.08,0,36.7,203.8,136.3,7.5,1.67,1.67,1.67,0.83,59.6,39.6,66.4,12.5,Matches
306,Martinelli,,br BRA,FWMF,Arsenal,20-290,2001,13.8,41.1,1.52,4.86,13.6,25.7,6.3,38.8,1.3,2.68,48.6,1.45,0.22,28.1,209,123.3,6.52,1.67,1.81,2.46,1.81,40.6,26.9,66.3,6.74,Matches
307,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-214,1992,29,32.6,28.1,32.2,0.52,0,0,21.9,0.03,0.03,100,0.03,0,15.3,73.2,41.8,0,0,0,0,0,12.8,12.6,98.9,0,Matches
308,Adam Masina,,ma MAR,DF,Watford,28-092,1994,9.6,54.8,5.83,21.6,24.2,10.5,0.21,45.1,0.83,1.04,80,0.83,0,25.9,103.8,55.9,1.98,0.63,0,0.42,0.42,27.4,25.5,93.2,0.42,Matches
309,Arthur Masuaku,,cd COD,DFFW,West Ham,28-148,1993,6.2,68.4,4.35,19.7,28.1,23.7,1.45,62.3,0.81,1.13,71.4,0.81,0.16,42.6,177.4,101.8,5.48,1.13,0.65,1.13,1.13,42.9,39.2,91.4,1.45,Matches
310,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-280,1997,7.2,29.4,1.94,4.03,15.1,11.3,4.58,27.9,1.67,2.64,63.2,1.67,0.14,15,57.8,26.4,1.94,0.28,0.83,2.08,1.11,42.5,19.6,46.1,4.31,Matches
311,Nemanja Mati?,,rs SRB,MF,Manchester Utd,33-246,1988,10.4,77.6,3.75,22.6,49.2,12.3,0.38,75.7,0.77,0.96,80,0.77,0,51.9,324.7,201.4,8.08,1.73,0,1.15,0.87,56.8,55,96.8,0.58,Matches
312,Joel Matip,,cm CMR,DF,Liverpool,30-239,1991,24,82.5,7.67,33.4,51.1,6,1.92,80.8,0.5,0.54,92.3,0.5,0,52.7,350.2,243.5,9,2.46,0.17,0.25,0.29,59.6,57.9,97.1,0.33,Matches
313,Neal Maupay,,fr FRA,FW,Brighton,25-233,1996,23.6,34.2,0.34,2.12,14,19.7,5.17,31.9,1.14,1.91,60,1.27,0.17,23.5,92.5,42.5,2.46,0.93,0.38,1.95,2.25,46.1,24.3,52.8,8.05,Matches
314,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-240,1999,25.7,37.5,0.74,4.28,14.7,21.1,4.32,35.6,1.21,2.41,50,1.28,0.16,23.6,127.9,69.4,3.5,1.01,0.97,2.68,1.98,49,25.3,51.7,8.29,Matches
315,James McArthur,,sct SCO,MF,Crystal Palace,34-179,1987,12.9,67.4,3.33,16.2,39.6,15.3,1.55,64.4,1.01,1.47,68.4,1.01,0.16,45,228.8,103.4,3.95,1.47,0.16,0.7,1.55,46,41.6,90.2,2.33,Matches
316,James Mcatee,,eng ENG,MFFW,Manchester City,19-168,2002,0.2,85,0,5,50,30,15,85,5,5,100,5,0,60,190,145,10,0,5,0,10,65,65,100,15,Matches
317,Kasey McAteer,,eng ENG,FW,Leicester City,20-133,2001,0,2,1,1,0,1,0,2,0,0,,0,0,2,5,5,0,0,0,1,0,4,2,50,0,Matches
318,Liam McCarron,,sct SCO,FW,Leeds United,21-028,2001,0.1,20,0,10,20,0,0,20,0,0,,0,0,20,320,80,10,0,0,0,0,10,10,100,0,Matches
319,Alex McCarthy,,eng ENG,GK,Southampton,32-122,1989,15,32.2,26.5,32,0.27,0,0,22.7,0,0,,0,0,14.7,55.3,32,0,0,0,0,0,13.9,13.7,99,0,Matches
320,John McGinn,,sct SCO,MF,Aston Villa,27-168,1994,26.3,52.3,2.32,12.3,28.6,14.9,0.91,48.5,1.03,1.75,58.7,1.14,0.04,33.7,163.9,92.2,3.88,0.99,0.19,1.03,1.22,34.4,31.1,90.5,1.83,Matches
321,Stuart McKinstry,,sct SCO,MF,Leeds United,19-198,2002,0,5,0,2,4,0,0,5,0,0,,0,0,4,31,28,0,0,0,1,0,5,3,60,0,Matches
322,Kenny McLean,,sct SCO,MF,Norwich City,30-086,1992,27.3,44,2.42,12.4,23.2,10.8,1.5,43,0.51,1.03,50,0.59,0,25.2,133,60.3,2.49,0.59,0.11,0.92,0.7,36.7,28.7,78.2,2.49,Matches
323,Dwight McNeil,,eng ENG,MF,Burnley,22-133,1999,26.5,45,1.7,8.45,21.5,19.5,1.74,42.7,2.23,3.81,58.4,2.42,0.11,33.6,228.6,105.8,5.47,1.89,0.53,1.28,1.7,32.9,26.6,80.8,2.68,Matches
324,Scott McTominay,,sct SCO,MF,Manchester Utd,25-117,1996,21.5,59.7,3.26,15.7,35.5,12.5,1.02,58.7,1.4,1.95,71.4,1.4,0,38.8,223.1,110,5.07,1.91,0.14,1.16,1.26,40.2,36.8,91.6,1.44,Matches
325,Ben Mee,,eng ENG,DF,Burnley,32-193,1989,20.4,47.7,7.16,24.2,22.9,2.45,1.37,46.4,0.2,0.29,66.7,0.25,0,23.2,117.1,50.4,0.93,0.05,0,0.2,0.25,23.1,22.2,95.8,0.15,Matches
326,Benjamin Mendy,,fr FRA,DF,Manchester City,27-261,1994,0.9,104.4,0,17.8,63.3,31.1,1.11,91.1,1.11,2.22,50,1.11,1.11,76.7,335.6,226.7,8.89,4.44,0,0,1.11,80,76.7,95.8,1.11,Matches
327,Edouard Mendy,,sn SEN,GK,Chelsea,30-034,1992,25,30.6,27.1,30.5,0.16,0,0,23.9,0,0,,0,0,15.2,55.9,22.2,0,0,0,0.04,0,16,15.9,99.7,0,Matches
328,Nampalys Mendy,,sn SEN,MF,Leicester City,29-285,1992,2.8,57.1,2.86,19.3,37.9,3.57,0,56.1,0,1.07,0,0.36,0,44.6,262.1,125.4,3.57,0.36,0,0.36,0,42.9,41.1,95.8,0.36,Matches
329,Illan Meslier,,fr FRA,GK,Leeds United,22-033,2000,30.6,39.8,35.4,39.8,0.03,0,0,30.6,0.07,0.07,100,0.07,0,21.5,90,44.6,0,0,0,0.1,0,19.7,19.6,99.8,0,Matches
330,Luka Milivojevi?,,rs SRB,MF,Crystal Palace,30-362,1991,7.2,67.1,2.64,16.9,36.7,15.7,0.28,60.7,0.28,0.42,66.7,0.28,0,34.2,134.4,59.4,2.36,0.83,0,0.28,0,42.1,41.1,97.7,0.69,Matches
331,James Milner,,eng ENG,MFDF,Liverpool,36-090,1986,7.1,89,5.35,22.3,44.5,25.8,1.13,83.2,0.42,0.7,60,0.42,0,54.4,206.8,109.9,4.51,1.69,0,0.56,0.7,63.7,58,91.2,2.68,Matches
332,Yerry Mina,,co COL,DF,Everton,27-193,1994,7.2,50,10.6,28.6,20.6,2.64,1.53,49.3,0,0,,0,0,27.2,149.2,68.5,0.83,0,0,0.28,0,29.6,28.2,95.3,0.28,Matches
333,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-078,1995,1.1,48.2,0,4.55,20.9,23.6,4.55,48.2,0,1.82,0,0,0,35.5,153.6,76.4,4.55,0,0,1.82,0,57.3,39.1,68.3,8.18,Matches
334,Tyrone Mings,,eng ENG,DF,Aston Villa,29-022,1993,27.4,57,10.6,34.9,22,3.94,1.82,55,0.33,0.4,81.8,0.33,0,32.2,203.1,108.1,2.04,0.51,0.04,0.22,0.07,36.3,34.5,95,0.29,Matches
335,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-215,1999,28.9,66.2,4.5,26,28.4,15.2,0.97,54.8,0.42,0.83,50,0.45,0,35.8,153.1,80.2,2.73,1.14,0.07,0.93,1.11,36.2,33.7,93.1,1.8,Matches
336,Jakub Moder,,pl POL,MFFW,Brighton,22-362,1999,18.9,55.6,2.12,10.7,23.1,25.6,3.6,54,0.74,1.8,41.2,0.85,0.21,36,178.9,88.3,4.66,1.9,0.21,1.64,1.48,47.2,38.1,80.7,4.81,Matches
337,Wesley Moraes,,br BRA,FW,Aston Villa,25-129,1996,0,4,0,0,1,3,0,4,0,0,,0,0,1,0,0,0,0,0,1,0,6,4,66.7,1,Matches
338,Tyler Morton,,eng ENG,MF,Liverpool,19-155,2002,0.7,55.7,0,4.29,47.1,7.14,0,55.7,0,0,,0,0,38.6,130,51.4,2.86,0,0,0,0,32.9,30,91.3,0,Matches
339,Mason Mount,,eng ENG,MFFW,Chelsea,23-084,1999,19.5,57.9,0.72,6,20.6,34.7,5.44,53,0.82,1.79,45.7,0.87,0.1,40.7,191.8,105.1,5.74,2.36,1.03,1.74,1.79,55.3,42.8,77.3,8.41,Matches
340,Lucas Moura,,br BRA,FWMF,Tottenham,29-234,1992,17.3,52.9,1.16,5.66,29.8,22.4,2.95,52.3,2.08,3.58,58.1,2.25,0.06,38.3,202,111.7,7.23,2.72,0.64,2.83,2.14,50.4,40,79.4,5.14,Matches
341,Joao Moutinho,,pt POR,MF,Wolves,35-208,1986,26.1,67.4,2.38,16.4,39,15,0.19,62.2,0.42,0.54,78.6,0.46,0,42.9,185,92.6,3.95,1.03,0.08,0.69,0.73,46.5,43.5,93.6,1.26,Matches
342,Bali Mumba,,eng ENG,DF,Norwich City,20-178,2001,0.5,38,16,24,8,6,0,38,0,2,0,0,0,18,106,38,2,0,0,0,0,18,16,88.9,0,Matches
343,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-039,1995,13.9,49.1,2.16,12.9,19.1,20.8,3.96,43.2,0.94,1.87,50,1.08,0.14,29.6,196.8,125.8,6.26,1.58,0.86,1.29,1.73,33.8,26.6,78.7,3.31,Matches
344,Enock Mwepu,,zm ZAM,MF,Brighton,24-093,1998,7.2,50.8,2.36,10.4,26.1,18.8,3.61,50.7,1.39,2.5,55.6,1.67,0,34,159,87.8,4.17,1.53,0.56,1.94,1.53,43.2,33.1,76.5,4.58,Matches
345,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-310,1999,3,56.7,3.67,15.3,27.7,14.7,1.33,47.7,0,0.33,0,0,0,28.3,101.7,36.7,0.67,0,0,0,0.33,29.3,28.3,96.6,0.67,Matches
346,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-075,1994,8.4,47.3,3.45,15.1,28.3,5.71,0,46.3,0.36,0.6,60,0.36,0,27.5,126.2,46.7,1.67,0.48,0,0.48,0.95,28.1,26.1,92.8,0.48,Matches
347,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-109,1996,18,65.6,5.72,23.4,36.4,8.33,1,64.4,0.39,0.56,70,0.39,0,38.2,163.5,65.8,2.28,0.56,0.06,1,0.78,38.9,37.1,95.4,0.67,Matches
348,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-097,1996,5.4,65.2,0.93,8.52,40.2,21.1,2.41,63.7,2.41,4.44,54.2,2.41,0.19,48.9,238.7,147,9.63,2.78,1.3,2.78,3.52,58,51.5,88.8,5.56,Matches
349,Reiss Nelson,,eng ENG,FW,Arsenal,22-115,1999,0.2,80,0,0,35,50,10,80,0,0,,0,0,55,220,70,0,0,0,5,0,60,55,91.7,15,Matches
350,Pedro Neto,,pt POR,MFFW,Wolves,22-026,2000,1.7,67.1,0.59,7.06,25.3,41.2,5.88,61.2,1.18,1.76,66.7,1.18,0,51.8,355.3,231.8,9.41,4.12,1.18,5.88,3.53,58.8,47.6,81,7.65,Matches
351,Ruben Neves,,pt POR,MF,Wolves,25-022,1997,25.2,77.4,3.53,20,47.3,13.8,0.32,74.9,0.87,1.27,68.8,0.95,0.08,54.3,211.5,104.8,3.89,1.23,0.12,0.6,0.75,57.1,54.8,96,0.95,Matches
352,Jeremy Ngakia,,eng ENG,DF,Watford,21-209,2000,7,54.4,4.14,23.4,20.7,13.4,0.29,44.7,1.29,2,64.3,1.43,0.29,26.6,118.7,68.3,2.43,1.43,0,0.14,0.57,25.9,23.3,90.1,0.71,Matches
353,Saul Niguez,,es ESP,DFMF,Chelsea,27-134,1994,3.8,80.3,2.37,19.2,38.7,24.2,2.89,73.9,0.26,1.05,25,0.26,0,44.7,136.3,49.7,2.11,0.53,0.26,1.58,2.37,59.7,53.7,89.9,5,Matches
354,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-309,1999,1.4,66.4,0,12.1,29.3,30.7,7.86,65.7,2.86,5.71,50,3.57,0,50,288.6,195.7,10,4.29,2.14,11.4,2.14,75.7,47.9,63.2,10.7,Matches
355,Nicolas Nkoulou,,cm CMR,DF,Watford,32-008,1990,1.9,37.9,5.79,20,17.9,1.05,0,37.4,0.53,0.53,100,0.53,0,22.1,66.3,24.7,0,0,0,0,0.53,21.6,21.1,97.6,0,Matches
356,Mark Noble,,eng ENG,MF,West Ham,34-331,1987,1.6,78.1,1.25,18.8,55,7.5,1.25,72.5,0.63,0.63,100,0.63,0,48.1,198.8,75,2.5,0.63,0,1.25,0.63,61.9,60,97,0,Matches
357,Mathias Normann,,no NOR,MF,Norwich City,25-311,1996,12.9,53.1,3.95,17.8,28.4,9.77,0.16,50,1.32,1.86,70.8,1.32,0,29.5,149.1,73.3,3.02,0.78,0,1.09,1.09,32.2,29.5,91.8,0.23,Matches
358,Christian Norgaard,,dk DEN,MF,Brentford,28-025,1994,29.2,60,3.36,16.2,36.3,9.97,1.82,57.3,0.45,0.79,56.5,0.48,0,30.8,123.4,60.5,2.43,0.79,0.14,0.51,0.86,36,32.2,89.5,0.96,Matches
359,Angelo Ogbonna,,it ITA,DF,West Ham,33-316,1988,10.2,51.8,6.76,28.7,24.6,1.37,0.78,51.3,0,0,,0,0,34.6,190.9,70,0.59,0.1,0,0,0.1,36.8,35.6,96.8,0.1,Matches
