,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,0.89,0.71,0.36,0.18,0.36,0.18,1.07,16.7,0.89,13.2,2.32,17.6,2.14,5.71,5.36,0.71,0,0,0.71,0.71,1.61,1.61,0,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,2.43,1.08,0.27,1.89,0.27,1.08,1.35,80,0.27,20.3,6.76,33.3,10.8,6.49,2.97,2.97,0.81,0,2.16,0.81,3.24,1.89,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,8,4,4,4,0,0,4,0,4,38,16,42.1,24,14,0,2,0,0,2,2,10,4,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,3.48,2.32,1.66,1.66,0.17,0.88,1.49,59.3,0.61,17.3,6.46,37.3,6.69,8.67,1.99,1.77,0.22,0,1.55,2.38,5.86,1.88,0,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,1.67,1.33,1,0.67,0,0,0.33,0,0.33,6,3.33,55.6,4,1.67,0.33,0.33,0,0,0.33,2.33,4,4.67,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,1.34,0.86,0.67,0.45,0.22,0.56,1.64,34.1,1.08,17,3.53,20.8,5.17,7.36,4.42,1.67,0.07,0,1.6,1.26,2.6,0.11,0,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,1.43,0.95,1.43,0,0,0.48,2.38,20,1.9,11,5.24,47.8,8.57,2.38,0,1.9,0.48,0,1.43,2.38,3.81,2.38,0,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,0.67,0.56,0.17,0.28,0.22,0.06,0.62,9.1,0.56,16.4,5,30.5,1.52,5.45,9.44,0.84,0.06,0,0.79,0.62,1.29,0.39,0,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,2.09,1.24,0.64,1.28,0.17,0.38,1.37,28.1,0.98,16.5,5.34,32.4,4.83,8.55,3.12,1.62,0.51,0,1.11,2.52,4.62,1.32,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,4,3,2,0,2,3,6,50,3,38,12,31.6,10,6,22,2,0,0,2,0,4,0,0,Matches
