,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,0.09,0.6,0.13,21.4,0.6,0.13,0.14,0.67,21.4,0.34,0,0,0.03,0.03,0.06,0.05,0.05,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,0,0.63,0,0,0.64,0,0,,10,0,0,0,0.06,0.06,0.08,-0.06,-0.06,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,0.41,2.81,0.83,29.4,2.81,0.83,0.15,0.5,18.5,0.41,0,0,0.21,0.21,0.08,0.21,0.21,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,0,0.49,0.08,15.4,0.49,0.08,0,0,22.3,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,0.47,2.24,1.29,57.9,2.23,1.29,0.21,0.36,15,0,0,0,0.39,0.39,0.17,0.08,0.08,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,0.03,0.97,0.27,27.6,0.97,0.27,0.03,0.13,21,0,0,0,0.06,0.06,0.07,-0.03,-0.03,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,0,0.69,0.23,33.3,0.68,0.23,0,0,21.3,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,0.05,0.64,0.25,38.5,0.64,0.25,0.08,0.2,15.4,0,0,0,0.07,0.07,0.11,-0.02,-0.02,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,0.56,3.33,1.11,33.3,3.42,1.14,0.17,0.5,16.4,0,0,0,0.5,0.5,0.15,0.06,0.06,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,0.08,0.88,0.2,22.7,0.88,0.2,0.09,0.4,7.9,0,0,0,0.1,0.1,0.11,-0.02,-0.02,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,0.56,3.13,1.34,42.9,3.12,1.34,0.18,0.42,18.6,0.17,0,0,0.26,0.26,0.08,0.3,0.3,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,0,6.67,0,0,7.2,0,0,,9,0,0,0,1.33,1.33,0.2,-1.33,-1.33,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,0,0.36,0,0,0.36,0,0,,28,0,0,0,0,0,0.02,0,0,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,0.06,1.08,0.42,38.9,1.08,0.42,0.06,0.14,15.4,0,0,0,0.1,0.1,0.09,-0.04,-0.04,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,0.37,2.22,0.99,44.4,2.22,0.99,0.17,0.38,14.6,0.16,0,0,0.28,0.28,0.13,0.09,0.09,Matches
