,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,37,36,1,0,0,10,0,2,0,0,0,0,29,2,6,29,5,3,0,0,27,0,1,3,1,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,1059,998,61,20,0,105,17,6,0,0,0,0,808,91,160,812,129,46,41,1,896,1,11,29,22,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,59,58,1,0,0,19,2,0,0,0,0,0,42,12,5,14,42,0,0,0,46,1,4,0,4,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,944,922,22,20,0,126,25,1,0,0,0,0,634,110,200,36,782,65,2,10,774,2,24,23,7,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,1101,992,109,36,7,145,57,73,59,24,7,7,796,101,204,118,944,20,12,1,834,6,21,54,42,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,6,6,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,2,0,0,3,0,0,0,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,125,122,3,2,0,31,4,1,0,0,0,0,93,10,22,76,43,5,1,0,106,0,1,1,2,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,607,596,11,9,0,95,10,7,0,0,0,0,470,63,74,99,446,32,2,2,530,0,2,20,7,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,530,501,29,0,1,141,7,25,5,1,2,0,354,120,56,67,396,15,5,7,351,3,10,33,38,Matches
