,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
501,Kyle Walker-Peters,,eng ENG,DF,Southampton,24-344,1997,20.3,1278,62,291,615,480,67,1098,37,58,63.8,38,0,853,5712,3606,179,58,27,22,33,819,741,90.5,60,Matches
502,Aaron Wan-Bissaka,,eng ENG,DF,Manchester Utd,24-117,1997,17.9,1236,76,429,557,332,21,1076,33,51,64.7,35,5,790,3695,2122,88,32,4,8,23,816,741,90.8,33,Matches
503,Joel Ward,,eng ENG,DF,Crystal Palace,32-145,1989,23,1697,118,655,809,318,9,1440,12,20,60,13,0,975,4571,2407,77,25,1,9,18,1028,991,96.4,10,Matches
504,James Ward-Prowse,,eng ENG,MF,Southampton,27-142,1994,26.7,1902,68,335,1043,606,20,1627,13,20,65,14,0,1042,3951,1826,83,23,2,9,25,1201,1104,91.9,32,Matches
505,Ollie Watkins,,eng ENG,FW,Aston Villa,26-083,1995,24.1,835,22,54,371,452,132,814,25,48,52.1,26,0,541,2416,1421,89,21,32,59,60,1138,630,55.4,190,Matches
506,Adam Webster,,eng ENG,DF,Brighton,27-078,1995,13,1125,102,569,559,104,11,1100,7,8,87.5,7,1,741,4478,2869,71,22,2,3,4,809,799,98.8,2,Matches
507,Wout Weghorst,,nl NED,FW,Burnley,29-228,1992,8.4,329,12,36,167,137,26,328,10,13,76.9,10,1,180,533,167,7,1,2,25,21,426,227,53.3,52,Matches
508,Danny Welbeck,,eng ENG,FWMF,Brighton,31-117,1990,8.1,232,7,18,84,145,41,231,5,13,38.5,6,0,146,691,360,24,6,7,28,19,326,175,53.7,54,Matches
509,Timo Werner,,de GER,FWMF,Chelsea,26-017,1996,8.2,306,2,23,117,189,66,299,7,22,31.8,10,2,242,1312,720,35,8,15,22,12,387,237,61.2,68,Matches
510,Ashley Westwood,,eng ENG,MF,Burnley,31-356,1990,22.1,1226,51,233,712,327,17,1092,8,17,47.1,8,0,672,2581,1186,30,15,1,18,12,782,711,90.9,21,Matches
