,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,35.1,33.8,1.32,0.43,0.04,6.67,1.2,0.68,0.38,0.34,0,0.04,20,5.3,9.87,3.38,26.7,3.12,0.17,0.13,26.3,0.38,0.47,0.98,0.98,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,63,60,3,1,0,7,0,4,0,0,0,0,53,6,4,60,1,0,2,0,49,0,0,6,2,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,40.1,37.5,2.66,0.58,0.4,8.73,1.16,0.92,0.92,0.46,0.23,0.06,30.2,4.86,5.03,4.51,33.4,0.69,0.29,0.35,31.2,0.12,0.69,2.49,1.1,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,37.4,37,0.38,0.13,0,5.25,0.63,0.13,0,0,0,0,24.1,3.88,9.38,23.9,5,4.88,0.25,0.25,30.9,0,0.88,0.63,0.5,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,54.6,53,1.67,1.05,0.09,4.82,1.14,0.09,0,0,0,0,40.6,4.12,9.91,43.6,5.18,3.33,0.53,0.18,44.5,0.18,0.96,1.4,0.79,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,34.2,22.5,11.6,3.64,0,2.36,0.73,0,0,0,0,0,20.9,0,13.3,8.18,20.5,0,0,4.18,24.4,0,0.36,0.18,0.18,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,46.5,37.3,9.25,1,0,6.75,0.5,1.5,0,0,0,0,25.5,10.5,10.5,2.5,30.5,3,8.25,0,32.8,0,2.75,2.25,1.25,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,29.5,20.5,9,2.5,0,0.5,0.5,0,0,0,0,0,8.5,0,21,3.5,25,0,0,0,19.5,0,1,0.5,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,20.2,19.2,0.97,0,0,9.35,0,0.22,0,0,0,0,9.68,7.1,3.44,1.61,11,2.15,0.11,1.4,13,0,0.32,1.08,1.18,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,92.6,83.3,9.28,1.4,0.22,7.56,2.9,2.9,0.04,0.04,0,0,64.3,13.9,14.4,10.7,70.3,2.69,7.85,0.14,77.8,0.25,1.43,3.08,2.01,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,32.2,30,2.24,0.44,0.18,5.75,1.1,2.28,0.66,0.44,0.13,0,17.2,5.53,9.47,3.95,25.2,1.49,1.1,0.09,19.4,0.04,1.05,1.54,2.59,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,31.4,30.2,1.22,0.61,0.41,4.29,0.41,0.61,0,0,0,0,22,5.1,4.29,3.06,25.3,1.63,0.61,0.2,25.9,0,0.2,1.22,0.61,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,41.9,32.6,9.29,1.02,0.03,4.37,1.49,2.85,0.03,0,0,0,20.8,7.39,13.7,3.66,26.8,2.27,8.24,0.07,29.1,0.14,0.98,1.29,1.29,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,49.6,41.8,7.85,0.32,0,7.85,0.57,0.7,0.06,0,0.06,0,29.9,9.81,9.94,4.87,32.5,3.54,7.47,0.13,39.9,0.13,0.76,2.03,1.14,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,58.2,47,11.2,1,0,8.2,0.2,1.2,0,0,0,0,38,13,7.2,9.2,36.4,1.4,10.2,0,48.2,0,0.2,2.6,1.8,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,35.1,33,2.1,0.37,0,3.99,1.69,0.12,0,0,0,0,21.3,3.58,10.2,6.5,22.7,3,1.73,0,28.6,0.08,0.62,0.58,0.33,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,26.6,26,0.59,0,0,4.12,1.18,0.44,0,0,0,0,19.1,4.26,3.24,5.74,17.4,1.18,0.15,1.91,20.9,0,0.44,1.03,0.29,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,0,0,20,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,69.3,67,2.29,1.76,0.15,6.26,0.46,0.15,0,0,0,0,57.3,4.89,7.1,2.82,60.8,3.66,0.53,0.23,62.8,0.08,0.53,1.07,0.38,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,51.6,43.7,7.89,2.11,0,5.26,0.53,1.05,0,0,0,0,31.6,11.6,8.42,2.11,40,2.11,5.79,0.53,42.6,0,1.58,2.11,0.53,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,54.2,52.8,1.4,1.2,0.2,6,0.6,0.2,0,0,0,0,37.6,4.4,12.2,2.4,46.4,3.4,0.2,0.2,44.2,0.2,0.4,1.2,0.4,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,57.2,44.2,13,1.67,0,8.83,0.83,1.67,4.17,2.67,0.33,0.17,36.7,8,12.5,39.2,8.5,1.67,7.17,0.17,44,0.17,0.33,1.17,2.5,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,41.7,36.7,5,0,0,10,5,11.7,0,0,0,0,16.7,11.7,13.3,3.33,26.7,3.33,5,0,25,0,1.67,1.67,5,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,49.4,45.6,3.75,0.94,0,11.9,0.31,0,0,0,0,0,34.7,6.56,8.13,2.5,37.5,3.44,2.5,0,40.3,0,2.5,0.94,0.94,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,73.8,70.8,2.98,1.91,0.07,8.65,1.21,0.07,0,0,0,0,60.6,5.6,7.59,4.61,63.6,2.62,0.99,0.28,67.2,0,0.64,1.06,0.5,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,34.1,34.1,0,0,0,4.55,0,0,0,0,0,0,29.1,2.73,2.27,2.73,29.1,0.91,0,0,26.8,0,0,3.18,1.36,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,30.8,30.1,0.71,0.53,0,3.27,0.27,0.27,0,0,0,0,21.2,3.36,6.28,21.9,5.22,1.95,0.18,0.09,24.4,0.27,0.88,0.62,0.44,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,36.5,31.7,4.77,1.5,0.13,5.82,1.24,1.05,2.16,1.37,0.65,0,20.3,6.27,9.93,4.38,28.2,2.42,0.46,0.2,26.9,0.13,0.65,1.18,0.39,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,44.7,34.3,10.3,1.17,0,5.33,0.33,0.67,0,0,0,0,26.8,6.33,11.5,1.17,32.8,0.67,9.17,0.17,34.3,0.17,0.33,1.5,1.17,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,41.9,40.7,1.17,1.14,0,3.44,1.49,0.06,0,0,0,0,32.6,2.34,6.92,1.62,38.1,1.69,0,0.06,37.5,0.1,0.29,0.58,0.26,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,46.3,35.2,11.1,0.56,0.05,6.62,0.65,1.71,0,0,0,0,22.3,9.77,14.2,7.5,25.1,2.36,10.5,0,34.2,0.19,0.93,1.9,1.02,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,30.7,30.1,0.58,0.47,0,4.88,0.93,0,0,0,0,0,14.8,3.95,12,1.86,22.6,3.37,0.12,0.12,21.6,0,1.74,0.47,0.35,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,10.6,10,0.59,0,0,3.53,0,0.59,0,0,0,0,8.82,1.76,0,0.59,8.82,0,0,1.18,8.82,0,0,0.59,0.59,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,58.4,56.7,1.71,1.45,0,5.92,1.64,0.07,0,0,0,0,43.3,5.53,9.61,45.1,6.71,3.88,0.26,0.33,51,0.13,0.92,0.66,0.53,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,27.2,27,0.19,0,0,5.38,0.57,0.28,0,0,0,0,18.2,2.92,6.04,2.74,20.6,1.98,0,0.19,20.5,0.28,0.28,1.04,0.75,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,20.2,19.1,1.18,0.08,0.16,5.83,0.71,0.94,0.94,0.63,0.24,0.08,13.1,3.15,4.02,13,4.17,1.26,0,0.24,13.3,0,0.08,1.1,0.55,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,20,20,0,0,0,5,0,0,0,0,0,0,15,5,0,15,5,0,0,0,20,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,58.1,45.4,12.7,0.86,0,5.99,0.96,3.37,0.05,0.05,0,0,24,14.8,19.4,5.29,35,4.33,11.8,0.32,39.2,0.37,1.23,2.19,2.3,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,40.6,38.4,2.23,0.53,0.32,7.23,1.06,1.06,0.53,0.21,0.32,0,29.9,4.26,6.49,2.55,36,0.96,0.21,0.64,33.4,0.43,0.53,1.49,1.17,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,69,56.5,12.5,1.93,0,6.87,1.72,2.1,2.1,0.52,1.59,0,41.8,12,15.2,53.9,3.99,1.55,8.5,0.26,54.9,0.3,1.03,2.15,1.89,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,60,59.4,0.63,0.63,0,5,1.25,0,0,0,0,0,36.9,6.25,16.9,4.38,48.1,6.88,0,0,45,0.63,0.63,0.63,1.25,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,31.6,28.4,3.14,0.58,0.25,7.02,1.32,2.07,1.24,0.5,0.58,0,16.8,6.45,8.35,4.05,22.6,1.98,0.5,0.25,20.5,0,0.91,1.4,2.15,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,70.8,59.7,11.1,0.61,0.04,9.51,1.14,2.97,0.19,0.11,0,0,46.5,14.3,9.92,44.9,12.3,1.94,10.3,0.3,57.9,0.23,0.65,2.7,2.47,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,35.6,32.2,3.33,1.11,1.11,3.33,0,0,2.22,2.22,0,0,30,2.22,3.33,14.4,18.9,2.22,0,0,30,0,0,1.11,1.11,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,17.3,15.9,1.41,0,0.12,5.06,0,0.24,0,0,0,0,12.2,3.06,2,3.88,10.8,0.59,0.12,0.35,13.3,0,0.24,0.94,0.59,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,51.5,41.4,10,1.47,0.1,6.82,1.91,1.37,1.64,1.1,0.33,0,30.6,11.5,9.36,8.53,33.4,1.74,6.92,0.1,40.9,0.23,0.8,1.44,1.57,Matches
