,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,0.44,0,0,1.25,0.44,0.06,0,1.13,0.56,0,0,0,9.5,5.06,1.44,77.9,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,0.91,0,0,1.82,1.36,0,1.36,1.82,1.82,0,0,0,4.55,1.36,1.36,50,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,0.05,0.05,0,0.34,0.1,0,0.15,1.7,0.53,0,0,0,8.64,3.35,1.65,67,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,0.1,0,0,0.03,0.24,0,0,0,0,0,0.03,0,3.38,0,0,,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,0.14,0,0,1.49,0.57,0.14,0.5,0.57,0.78,0,0,0,4.89,2.27,3.4,40,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,0,0,0,0.7,1.41,0.42,1.13,1.41,1.27,0,0,0,4.93,1.55,2.25,40.7,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,0,0,0,0.32,1.94,0,1.61,0.97,0.32,0,0,0,11,0.32,0.97,25,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,0,0,0,1,0,0,0,2.5,1,0,0,0,14.5,1,1,50,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,0.22,0,0,1.63,1.24,0,1.57,0.79,1.57,0,0,0,7.7,1.74,2.64,39.7,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,0.17,0,0,1.41,1.98,0.06,2.82,1.69,1.75,0,0,0,8.81,1.75,1.64,51.7,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,0.29,0,0,0.59,0.29,0,2.06,0.59,1.18,0,0,0,10.9,0.59,0.59,50,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,0.7,0,0,1.86,0.93,0,0.23,1.63,2.33,0,0,0,8.14,0.47,0.47,50,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,0.21,0,0,1.06,0.85,0,0,2.45,0.96,0,0,0,12.3,3.83,1.49,72,Matches
